période;aéroport;Destination;"Nombre de passagers qui ont réservé";"recette des réservations"
Janvier;Bâle-Mulhouse;London;2;117
Janvier;"Karlsruhe / Baden-Baden";gerone;2;44
Janvier;"Karlsruhe / Baden-Baden";Vienne;1;34
Janvier;"Karlsruhe / Baden-Baden";dublin;1;29
Janvier;"Karlsruhe / Baden-Baden";DUBLIN;1;19
Janvier;"Karlsruhe / Baden-Baden";ciampino;1;19
Janvier;"Karlsruhe / Baden-Baden";Girona;1;34
Janvier;"Karlsruhe / Baden-Baden";"Girona (Barcelona";1;15
Janvier;"Karlsruhe / Baden-Baden";Cagliari;1;19
Janvier;"Karlsruhe / Baden-Baden";stockholm;1;34
Janvier;"Karlsruhe / Baden-Baden";rome;2;48
Janvier;"Karlsruhe / Baden-Baden";Girona;1;19
Janvier;"Karlsruhe / Baden-Baden";Cagliari;1;19
Janvier;"Karlsruhe / Baden-Baden";"rome (ciampino)";2;38
Janvier;"Karlsruhe / Baden-Baden";Cagliari;2;38
Janvier;"Karlsruhe / Baden-Baden";"Rome Ciampino";1;19
Janvier;"Karlsruhe / Baden-Baden";stockholm;1;38
Janvier;"Karlsruhe / Baden-Baden";rome;1;19
Janvier;"Karlsruhe / Baden-Baden";Rome;1;19
Janvier;"Karlsruhe / Baden-Baden";Cagliari;1;19
Janvier;"Karlsruhe / Baden-Baden";berlin;2;48
Janvier;"Karlsruhe / Baden-Baden";rome;1;19
Janvier;"Karlsruhe / Baden-Baden";rome;2;38
Janvier;"Karlsruhe / Baden-Baden";rome;2;48
Janvier;"Karlsruhe / Baden-Baden";Rome;1;19
Janvier;"Karlsruhe / Baden-Baden";rome;1;19
Janvier;"Karlsruhe / Baden-Baden";"Baden Baden";1;48
Janvier;"Karlsruhe / Baden-Baden";Rome;1;50
Janvier;"Karlsruhe / Baden-Baden";Cagliari;1;38
Janvier;"Karlsruhe / Baden-Baden";Cagliari;1;38
Janvier;"Karlsruhe / Baden-Baden";"Mahon via Palma";1;48
Janvier;"Karlsruhe / Baden-Baden";rome;1;29
Janvier;"Karlsruhe / Baden-Baden";girone;2;38
Janvier;"Karlsruhe / Baden-Baden";rome;1;63
